"time","Room 1 - Actual","Room 1 - Set"
2024-02-01 12:51:00,19.1 °C,19 °C
2024-02-01 12:54:00,19.1 °C,19 °C
2024-02-01 12:56:00,19.1 °C,19 °C
2024-02-01 12:57:00,19.1 °C,19 °C
2024-02-01 12:58:00,19.1 °C,19 °C
2024-02-01 13:02:00,19.1 °C,19 °C
2024-02-01 13:07:00,19.1 °C,19 °C
2024-02-01 13:08:00,19.1 °C,19 °C
2024-02-01 13:09:00,19.0 °C,19 °C
2024-02-01 13:10:00,19.0 °C,19 °C
2024-02-01 13:12:00,19.0 °C,19 °C
2024-02-01 13:14:00,19.0 °C,19 °C
2024-02-01 13:15:00,19.0 °C,19 °C
2024-02-01 13:17:00,19 °C,19 °C
2024-02-01 13:19:00,19 °C,19 °C
2024-02-01 13:20:00,19 °C,19 °C
2024-02-01 13:22:00,19 °C,19 °C
2024-02-01 13:23:00,19 °C,19 °C
2024-02-01 13:24:00,19 °C,19 °C
2024-02-01 13:25:00,19 °C,19 °C
2024-02-01 13:34:00,19 °C,19 °C
2024-02-01 13:36:00,19 °C,20 °C
2024-02-01 13:37:00,19.0 °C,20 °C
2024-02-01 13:38:00,19.0 °C,20 °C
2024-02-01 13:39:00,19 °C,20 °C
2024-02-01 13:40:00,19.0 °C,20 °C
2024-02-01 13:41:00,19 °C,20 °C
2024-02-01 13:42:00,19 °C,20 °C
2024-02-01 13:43:00,19.0 °C,20 °C
2024-02-01 13:45:00,19.0 °C,20 °C
2024-02-01 13:46:00,19.0 °C,20 °C
2024-02-01 13:48:00,19.0 °C,20 °C
2024-02-01 13:49:00,19.1 °C,20 °C
2024-02-01 13:51:00,19.1 °C,20 °C
2024-02-01 13:52:00,19.1 °C,20 °C
2024-02-01 13:54:00,19.1 °C,20 °C
2024-02-01 13:55:00,19.1 °C,20 °C
2024-02-01 13:56:00,19.1 °C,20 °C
2024-02-01 13:57:00,19.1 °C,20 °C
2024-02-01 13:58:00,19.1 °C,20 °C
2024-02-01 13:59:00,19.1 °C,20 °C
2024-02-01 14:00:00,19.1 °C,20 °C
2024-02-01 14:01:00,19.1 °C,20 °C
2024-02-01 14:02:00,19.1 °C,20 °C
2024-02-01 14:03:00,19.1 °C,20 °C
2024-02-01 14:04:00,19.1 °C,20 °C
2024-02-01 14:06:00,19.2 °C,20 °C
2024-02-01 14:07:00,19.2 °C,20 °C
2024-02-01 14:08:00,19.2 °C,20 °C
2024-02-01 14:10:00,19.2 °C,20 °C
2024-02-01 14:11:00,19.2 °C,20 °C
2024-02-01 14:12:00,19.2 °C,20 °C
2024-02-01 14:13:00,19.2 °C,20 °C
2024-02-01 14:14:00,19.2 °C,20 °C
2024-02-01 14:15:00,19.2 °C,20 °C
2024-02-01 14:16:00,19.2 °C,20 °C
2024-02-01 14:17:00,19.2 °C,20 °C
2024-02-01 14:18:00,19.3 °C,20 °C
2024-02-01 14:19:00,19.3 °C,20 °C
2024-02-01 14:20:00,19.3 °C,20 °C
2024-02-01 14:21:00,19.3 °C,20 °C
2024-02-01 14:22:00,19.3 °C,20 °C
2024-02-01 14:23:00,19.3 °C,20 °C
2024-02-01 14:24:00,19.3 °C,20 °C
2024-02-01 14:25:00,19.3 °C,20 °C
2024-02-01 14:26:00,19.4 °C,20 °C
2024-02-01 14:27:00,19.4 °C,20 °C
2024-02-01 14:28:00,19.4 °C,20 °C
2024-02-01 14:29:00,19.4 °C,20 °C
2024-02-01 14:30:00,19.4 °C,20 °C
